/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Donzok
 * Creation Date: 29/03/2016 at 16:35:21
 *********************************************/

 MaxCapacity = 200;
 NbElements = 5;
 Clients = { "0", "1", "2", "3", "4", "5", "6", "7", "8", "9", 
 			 "10", "11", "12", "13", "14", "15", "16", "17", "18", "19", 
 			 "20", "21", "22", "23", "24", "25", "26", "27", "28", "29", 
 			 "30", "31", "32", "33", "34", "35", "36", "37", "38", "39", 
 			 "40", "41", "42", "43", "44", "45", "46", "47", "48", "49", 
 			 "50", "51", "52", "53", "54", "55", "56", "57", "58", "59", 
 			 "60", "61", "62", "63", "64", "65", "66", "67", "68", "69", 
 			 "70", "71", "72", "73", "74", "75", "76", "77", "78", "79", 
 			 "80", "81", "82", "83", "84", "85", "86", "87", "88", "89", 
 			 "90", "91", "92", "93", "94", "95", "96", "97", "98", "99" };
 			 
Elements = #[
			"26": [5, 10, 10, 4, 3],
			"98": [14, 6, 6, 2, 0],
			"64": [7, 12, 12, 0, 0],
			"80": [1, 13, 11, 1, 7],
			"49": [10, 7, 3, 0, 0],
			"66": [8, 15, 6, 14, 12],
			"14": [2, 6, 4, 6, 2],
			"24": [10, 15, 4, 15, 0],
			"69": [11, 8, 5, 6, 0],
			"99": [5, 14, 12, 14, 0],
			"8": [8, 5, 8, 2, 0],
			"48": [13, 11, 10, 9, 0],
			"9": [1, 9, 14, 14, 12],
			"28": [4, 4, 5, 1, 0],
			"96": [15, 15, 14, 9, 0],
			"29": [4, 11, 6, 0, 0],
			"51": [1, 6, 11, 3, 0],
			"45": [7, 11, 7, 0, 0],
			"16": [15, 5, 2, 4, 4],
			"34": [9, 6, 2, 0, 0],
			"77": [4, 14, 2, 3, 15],
			"18": [15, 12, 7, 0, 0],
			"38": [14, 6, 11, 0, 0],
			"12": [9, 2, 4, 13, 0],
			"72": [11, 4, 2, 0, 0],
			"3": [1, 1, 7, 0, 0],
			"27": [6, 1, 1, 9, 0],
			"86": [14, 12, 3, 6, 8],
			"40": [3, 15, 13, 0, 0],
			"4": [4, 4, 2, 4, 15],
			"87": [6, 7, 12, 11, 6],
			"46": [13, 10, 15, 0, 0],
			"25": [11, 6, 3, 0, 0],
			"44": [14, 15, 2, 0, 0],
			"56": [5, 9, 6, 1, 0],
			"81": [15, 3, 1, 14, 15],
			"23": [10, 8, 3, 0, 0],
			"95": [14, 7, 14, 12, 0],
			"71": [13, 13, 5, 9, 9],
			"52": [6, 11, 3, 0, 0],
			"85": [5, 12, 6, 0, 0],
			"65": [12, 6, 6, 8, 14],
			"94": [6, 4, 6, 5, 0],
			"70": [7, 1, 13, 13, 0],
			"11": [3, 11, 5, 9, 0],
			"82": [8, 7, 13, 5, 0],
			"32": [14, 14, 4, 9, 0],
			"19": [1, 3, 4, 0, 0],
			"60": [6, 11, 11, 14, 14],
			"47": [10, 9, 14, 9, 6],
			"79": [2, 14, 5, 4, 0],
			"13": [4, 5, 2, 6, 0],
			"36": [4, 12, 14, 12, 0],
			"83": [5, 1, 2, 0, 0],
			"63": [11, 10, 5, 15, 0],
			"30": [14, 13, 3, 12, 11],
			"43": [15, 11, 2, 13, 3],
			"5": [13, 10, 8, 8, 0],
			"37": [5, 2, 13, 5, 0],
			"90": [12, 6, 7, 10, 0],
			"41": [11, 6, 2, 0, 0],
			"54": [9, 4, 7, 8, 15],
			"61": [14, 2, 15, 0, 0],
			"88": [13, 14, 13, 4, 0],
			"68": [4, 12, 10, 2, 14],
			"67": [4, 7, 6, 13, 0],
			"92": [2, 14, 14, 0, 0],
			"39": [12, 13, 10, 14, 0],
			"33": [1, 1, 13, 3, 0],
			"21": [13, 2, 6, 5, 0],
			"0": [11, 2, 14, 8, 0],
			"89": [4, 15, 8, 3, 0],
			"1": [15, 11, 13, 14, 2],
			"10": [15, 15, 2, 0, 0],
			"20": [10, 8, 6, 1, 0],
			"31": [4, 14, 8, 8, 2],
			"53": [2, 2, 10, 0, 0],
			"7": [6, 6, 9, 0, 0],
			"15": [5, 12, 11, 3, 11],
			"93": [15, 3, 9, 11, 9],
			"58": [14, 2, 14, 0, 0],
			"75": [9, 15, 15, 7, 0],
			"62": [12, 11, 3, 14, 0],
			"35": [8, 7, 7, 0, 0],
			"42": [7, 9, 8, 15, 11],
			"74": [9, 6, 7, 9, 8],
			"6": [9, 2, 5, 5, 6],
			"17": [6, 1, 7, 10, 0],
			"73": [5, 6, 11, 0, 0],
			"55": [12, 13, 2, 11, 5],
			"78": [11, 11, 13, 5, 0],
			"84": [4, 13, 14, 7, 9],
			"97": [6, 6, 4, 7, 0],
			"59": [13, 1, 2, 14, 10],
			"2": [5, 3, 15, 3, 2],
			"76": [1, 4, 7, 2, 5],
			"57": [13, 2, 4, 4, 5],
			"91": [13, 9, 8, 8, 0],
			"50": [10, 5, 8, 5, 6],
			"22": [6, 11, 7, 10, 5]
			]#;
